                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.5861,                 1.0875,                 1.9338,                0.80622,                0.68083,                0.66352,                0.29413,                 1.9323,                 1.6947,                 2.6229,              0.0010694,              0.0010694,              0.0010694
                     50,                  1.515,                 1.0549,                 1.8537,                0.77906,                0.60907,                0.66281,                 0.2246,                 2.4155,                 1.6136,                 2.9978,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.4648,                0.97921,                 1.8181,                0.60205,                0.56364,                0.50341,                0.20097,                 2.2522,                 1.7723,                 2.7858,              0.0010298,              0.0010298,              0.0010298
                     52,                  1.524,                 1.0462,                 1.8728,                0.82455,                0.65455,                0.69123,                0.29277,                 2.1707,                 1.3567,                 2.5905,                0.00101,                0.00101,                0.00101
                     53,                 1.4565,                0.97983,                 1.7988,                0.68631,                    0.6,                0.60518,                 0.2078,                 2.5929,                 1.4635,                 2.8766,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.5075,                0.98308,                 1.8632,                 0.7102,                0.62727,                0.65293,                0.30667,                 2.0015,                 1.3187,                 2.4316,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.3787,                0.94707,                 1.7674,                0.57849,                0.61138,                0.59231,                0.28897,                 2.0939,                 1.3158,                 2.8335,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.3643,                0.92473,                 1.7206,                0.84477,                    0.7,                0.71517,                0.40585,                 1.9083,                 1.1733,                 2.5709,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.3853,                0.92311,                 1.7412,                0.76223,                0.60909,                0.62003,                0.29337,                 2.1525,                 1.2881,                 2.8269,               0.000911,               0.000911,               0.000911
                     58,                  1.415,                0.95222,                 1.7015,                0.80582,                0.68182,                0.67181,                0.27557,                 2.3636,                 1.3147,                 2.6689,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.3599,                0.93067,                 1.6928,                 0.7082,                0.66193,                0.68732,                0.31968,                 2.2115,                 1.3131,                 2.7998,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.4049,                0.89649,                 1.6569,                0.64786,                0.59091,                 0.5683,                0.28711,                 2.0661,                  1.383,                 2.8736,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.3596,                0.86019,                 1.6748,                0.84379,                 0.6384,                0.68411,                0.36097,                 1.9789,                 1.2037,                 2.5687,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.3591,                0.85358,                 1.6715,                0.74548,                0.67273,                0.66787,                0.30395,                 2.3384,                 1.2488,                 2.9033,               0.000812,               0.000812,               0.000812
                     63,                  1.435,                0.89833,                 1.7399,                0.76417,                0.58916,                0.60214,                0.25915,                 2.4903,                 1.2965,                 3.0027,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.4387,                0.90521,                  1.726,                0.89056,                0.68182,                0.71389,                0.26185,                 2.5048,                 1.4466,                 3.1445,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.3542,                0.85574,                 1.7028,                0.89088,                0.59091,                0.65277,                0.37729,                 1.9936,                 1.3753,                 2.7554,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.3197,                0.85602,                 1.6743,                0.78841,                0.57588,                0.64146,                0.28989,                 2.3408,                 1.2714,                 3.2885,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.2965,                0.82232,                 1.6248,                0.80665,                0.62727,                 0.7345,                0.34936,                 1.8803,                 1.2104,                 2.6834,               0.000713,               0.000713,               0.000713
                     68,                 1.3222,                0.85927,                  1.661,                0.74607,                0.46364,                0.57316,                0.23984,                 2.4052,                 1.4724,                 3.1898,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.2743,                0.81212,                  1.581,                0.65494,                0.62119,                0.60919,                0.26488,                  2.259,                 1.3643,                 3.0674,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.1969,                0.77282,                   1.58,                0.83692,                    0.7,                0.71279,                0.36758,                 1.9527,                 1.1553,                 2.8164,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.2893,                0.83121,                 1.7796,                0.81612,                0.63636,                 0.6686,                0.33299,                 2.0758,                 1.1562,                 2.9347,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.1988,                0.79606,                 1.5775,                0.82905,                0.66136,                0.65705,                 0.3473,                 2.0183,                 1.1175,                  2.985,               0.000614,               0.000614,               0.000614
                     73,                  1.247,                0.80337,                 1.5904,                0.81125,                0.70332,                0.68933,                0.32127,                 2.0795,                 1.1075,                 2.9949,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.2276,                0.76927,                 1.6771,                0.79855,                0.64869,                0.65958,                0.31756,                 2.1042,                 1.1202,                 2.8048,              0.0005744,              0.0005744,              0.0005744
                     75,                  1.179,                0.76291,                 1.6461,                 0.8803,                0.66859,                0.71669,                0.32259,                 2.1366,                 1.1161,                 2.8942,              0.0005546,              0.0005546,              0.0005546
                     76,                  1.205,                0.79971,                   1.57,                0.77461,                0.66364,                0.65906,                0.30953,                 2.1607,                 1.2103,                 2.9145,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.2209,                0.82053,                 1.6129,                0.84352,                0.65455,                0.68216,                0.34341,                  1.979,                 1.1944,                 2.7336,               0.000515,               0.000515,               0.000515
                     78,                 1.2007,                0.78548,                  1.604,                0.87496,                0.68182,                0.72374,                0.38673,                 1.8716,                 1.0884,                 2.6688,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.1888,                0.71811,                 1.5477,                0.88827,                0.65455,                 0.7253,                 0.3723,                 2.0371,                 1.1217,                 2.8558,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.2071,                0.77283,                 1.5353,                0.83938,                0.60909,                0.64114,                0.29443,                  2.228,                 1.2507,                 3.0091,              0.0004556,              0.0004556,              0.0004556
